MouseNum	Apo A1 (Apolipoprotein A1) (ug/mL)	Beta-2 Microglobulin (ug/mL)	Calbindin (ng/mL)	CD40 (pg/mL)	CD40 Ligand (pg/mL)	clotted	Clusterin (ug/mL)	CRP (C Reactive Protein) (ug/mL)	Cystatin-C (ng/mL)	EGF (Epidermal Growth Factor) (pg/mL)	Endothelin-1 (pg/mL)	Eotaxin (pg/mL)	Factor VII (ng/mL)	FGF-9 (Fibroblast Growth Factor-9) (ng/mL)	FGF-basic (Fibroblast Growth Factor-basic) (ng/mL)	Fibrinogen (ug/mL)	Fibrinogen (ug/mL) no clotted	GCP-2 (Granulocyte Chemotactic Protein-2) (ng/mL)	GM-CSF (Granulocyte Macrophage-Colony Stimulating Factor) (pg/mL)	Growth Hormone (ng/mL)	GST-alpha (Glutathione S-Transferase alpha) (ng/mL)	GST-Mu (ng/mL)	Haptoglobin (ug/mL)	IFN-gamma (Interferon-gamma) (pg/mL)	IgA (Immunoglobulin A) (ug/mL)	IL-10 (Interleukin-10) (pg/mL)	IL-11 (Interleukin-11) (pg/mL)	IL-12p70 (Interleukin-12p70) (ng/mL)	IL-17 (Interleukin-17) (ng/mL)	IL-18 (Interleukin-18) (ng/mL)	IL-1alpha (Interleukin-1alpha) (pg/mL)	IL-1beta (Interleukin-1beta) (ng/mL)	IL-2 (Interleukin-2) (pg/mL)	IL-3 (Interleukin-3) (pg/mL)	IL-4 (Interleukin-4) (pg/mL)	IL-5 (Interleukin-5) (ng/mL)	IL-6 (Interleukin-6) (pg/mL)	IL-7 (Interleukin-7) (ng/mL)	Insulin (uIU/mL)	IP-10 (Inducible Protein-10) (pg/mL)	KC/GROalpha (Melanoma Growth Stimulatory Activity Protein) (ng/mL)	Leptin (ng/mL)	LIF (Leukemia Inhibitory Factor) (pg/mL)	Lymphotactin (pg/mL)	M-CSF (Macrophage-Colony Stimulating Factor) (ng/mL)	MCP-1 (Monocyte Chemoattractant Protein-1) (pg/mL)	MCP-3 (Monocyte Chemoattractant Protein-3) (pg/mL)	MCP-5 (Monocyte Chemoattractant Protein-5) (pg/mL)	MDC (Macrophage-Derived Chemokine) (pg/mL)	MIP-1alpha (Macrophage Inflammatory Protein-1alpha) (ng/mL)	MIP-1beta (Macrophage Inflammatory Protein-1beta) (pg/mL)	MIP-1gamma (Macrophage Inflammatory Protein-1gamma) (ng/mL)	MIP-2 (Macrophage Inflammatory Protein-2) (pg/mL)	MIP-3beta (Macrophage Inflammatory Protein-3beta) (ng/mL)	MMP-9 (Matrix Metalloproteinase-9) (ng/mL)	MPO (Myeloperoxidase) (ng/mL)	Myoglobin (ng/mL)	NGAL (Lipocalin-2) (ng/mL)	OSM (Oncostatin M) (ng/mL)	Osteopontin (ng/mL)	RANTES (Regulation Upon Activation; Normal T-Cell Expressed and Secreted) (pg/mL)	SAP (Serum Amyloid P) (ug/mL)	SCF (Stem Cell Factor) (pg/mL)	SGOT (Serum Glutamic-Oxaloacetic Transaminase) (ug/mL)	TIMP-1 (Tissue Inhibitor of Metalloproteinase Type-1) (ng/mL)	Tissue Factor (ng/mL)	TNF-alpha (Tumor Necrosis Factor-alpha) (ng/mL)	TPO (Thrombopoietin) (ng/mL)	VCAM-1 (Vascular Cell Adhesion Molecule-1) (ng/mL)	VEGF (Vascular Endothelial Cell Growth Factor) (pg/mL)	vWF (von Willebrand Factor) (ng/mL)
"Mouse3165"	40.1	0.465	0.149	84	538	FALSE	331L	7.65	409L	18.7	34.1	390	3.13	0	3.41	10900	10900	9.71	0	0	0	6.31	30.2	0	78.9	147	13.5	0	0	4.67	154	3.72	0	0	0	0.684	0	0	5.46	56.5	0.0372	0.187	426L	74.2	2.14	28.1	75.2	14.6	260	1.25	75.4	17.7	20.3	0.929	20	130	137L	0	0.0723	257	0.19	22.9	118	73.3	1.01	7.7	0	33.9	677L	204	36.1
"Mouse3156"	45.6	0.278	0.33	77.1	763	FALSE	404L	10.2	296L	152	50.5	865	3.08	0	2.94	14800	14800	8.71	0	0	0	8.56	105	0	85.9	147	19.5	0	0	4.9	326	4.65	0	0	0	0.286	0	0	11.2	27.5	0.13	0.179	418L	55.7	2.63	42.9	131	20.9	368	1.25	40.5	14.6	28.7	0.839	33.6	190	737L	2.14	0.0428	226	0	29.5	85.8	77.8	0.737	8.84	0	35.2	635L	3050	82.4
"Mouse3146"	51.6	0.701	0.436	71.9	500	FALSE	221L	8.79	307L	27	60.1	620	3.22	0.556	2.28	17800	17800	2.58	0	0	0	8.56	32	0	145	158	20.9	0	0	3.9	203	3.96	16.7	0	0	0.0646	0	0	9.63	21.9	0.0177	0.128	302L	53	1.91	26.1	73.4	24.7	252	1.19	21.5	12	14.7	0.615	28.8	123	453L	0	0.0478	182	0.19	35.1	89	109	0.508	3.83	0	29.3	605L	125	111
"Mouse3137"	41.4	0.955	0.283	94.6	500	FALSE	260L	9.84	342L	20.8	34.1	409	2.77	0.292	2.86	17400	17400	1.96	0	0	0.104	5.98	34.3	0	110	158	10.9	0	0	4.59	83.3	3.48	0	0	33.6	0.389	0	0	13.3	42.9	0.0393	0.137	314L	78.5	1.98	32	89.7	28.5	188	1.25	67.5	15.4	22.5	0.547	14.2	108	290L	0	0.0495	96.9	0.386	26.6	127	95	0.633	4.29	0	29.3	824L	425	64.7
"Mouse3128"	40.7	0	0.697	103	557	TRUE	430L	9.78	386L	181	50.5	549	3.31	0	3.26	0	NA	15.9	0	0	0.123	18.2	30	0	71.2	176	18.1	0	0	4.32	384	3.23	0	0	23	0.181	0	0	9.37	26.8	0.0765	0.192	418L	75.1	2.93	39.5	94.9	14.6	301	1.19	57.7	11.9	27.1	0.857	20.7	113	1220L	13.7	0.074	244	0	25	158	0	0.732	7.7	0	33.9	648L	7150	0
"Mouse3119"	50.7	0.49	0.519	59.3	613	FALSE	496L	15.7	319L	13.4	13.3	525	2.49	0	2.78	12100	12100	14.4	0	0	0	3.16	120	0	292	113	15.1	0	0	4.26	140	4.65	0	0	0	0.684	0	0	13	35.5	0.0238	0.216	410L	59.3	1.82	23.7	71.2	36.2	292	1.25	44.3	12.4	11.7	0.802	26.1	100	507L	0	0.0626	198	0.917	41.3	108	75.3	1.06	7.02	0	33.6	678L	125	32.4
"Mouse3096"	61.1	1.17	0.298	34.9	222	FALSE	352L	4.26	245L	8.5	27.9	745	1.93	0.427	3.1	8470	8470	9.95	0	0	0.113	9.25	126	0	203	119	8.52	0	0	4.95	101	4.65	0	0	0	0.963	0	0	6.44	109	0.0166	0.167	410L	83.7	1.84	46.1	75.6	20.9	485	1.22	59.6	11.9	17.8	0.929	39.2	139	290L	3.32	0.0147	208	0	23.7	133	71.8	0.687	4.51	0	31.9	686L	116	77.7
"Mouse3055"	59.5	0.346	0.561	125	594	FALSE	341L	11	484L	23.4	50.5	670	3.22	0	3.41	8140	8140	8.38	0	0	0	9.25	46.1	0	161	247	0	0	0	4.95	246	4.65	0	0	0	0.587	6.2	0	27.1	51.6	0.0544	0.162	402L	82.8	2.69	70.6	135	38.7	362	1.19	83.4	16.8	21.6	0.893	36.4	150	614L	0	0.0256	206	0.477	38.6	108	77.6	0.806	7.7	0	36.7	910L	143	49.9
"Mouse3045"	49.4	0.149	0.506	167	361	FALSE	254L	7.05	424L	16.6	45.3	1590	2.95	0	3.1	4150	4150	9.45	0	0	0	6.63	38.5	0	105	158	29.4	0	0	3.93	421	4.19	0	0	0	0.389	0	0.416	33.3	67.7	0.0424	0.257	540L	73.3	2.18	70.4	202	36.2	460	1.28	48.1	14.9	21.4	1	17.4	98.5	968L	0	0.0461	194	0	26.6	158	60.7	0.856	5.88	0	35.2	695L	204	16.3
"Mouse3166"	47.5	0.337	0.31	75.3	444	FALSE	420L	9.23	324L	23.9	57.8	596	3.22	0	3.26	16800	16800	7.19	0	0	0	5.25	33.8	0	248	158	0	0	0	4.12	218	3.72	0	0	0	0.684	0	0	17.4	46	0.0515	0.173	335L	73.3	2.16	35.4	94.9	22.2	303	1.07	44.3	15.4	18.3	0.756	25.4	124	741L	0	0.0394	176	0	28.2	89	78.1	0.574	6.56	0	33.2	693L	121	69.6
